0.047192,0.07962,0.15711,0.39099,1.1494
-1,-0.98481,-0.93969,-0.86603,-0.76604,-0.64279,-0.5,-0.34202,-0.17365,0,0.17365,0.34202,0.5,0.64279,0.76604,0.86603,0.93969,0.98481,1
0.97563,0.98583,0.96074,0.75065,0.21545,-0.53623,-0.98555,-0.58389,0.43239,0.98896,0.43239,-0.58389,-0.98555,-0.53623,0.21545,0.75065,0.96074,0.98583,0.97563
-1,-0.98481,-0.93969,-0.86603,-0.76604,-0.64279,-0.5,-0.34202,-0.17365,0,0.17365,0.34202,0.5,0.64279,0.76604,0.86603,0.93969,0.98481,1
0.96034,0.97228,0.97574,0.87969,0.57178,0.016754,-0.62012,-0.97497,-0.73918,-2.1869e-15,0.73918,0.97497,0.62012,-0.016754,-0.57178,-0.87969,-0.97574,-0.97228,-0.96034
-1,-0.98481,-0.93969,-0.86603,-0.76604,-0.64279,-0.5,-0.34202,-0.17365,0,0.17365,0.34202,0.5,0.64279,0.76604,0.86603,0.93969,0.98481,1
-0.92401,-0.93681,-0.95977,-0.94807,-0.83688,-0.56836,-0.13651,0.37412,0.79758,0.96307,0.79758,0.37412,-0.13651,-0.56836,-0.83688,-0.94807,-0.95977,-0.93681,-0.92401
-1,-0.98481,-0.93969,-0.86603,-0.76604,-0.64279,-0.5,-0.34202,-0.17365,0,0.17365,0.34202,0.5,0.64279,0.76604,0.86603,0.93969,0.98481,1
-0.82023,-0.8323,-0.86346,-0.89872,-0.91444,-0.88227,-0.77669,-0.58498,-0.31563,3.5596e-16,0.31563,0.58498,0.77669,0.88227,0.91444,0.89872,0.86346,0.8323,0.82023
-1,-0.98481,-0.93969,-0.86603,-0.76604,-0.64279,-0.5,-0.34202,-0.17365,0,0.17365,0.34202,0.5,0.64279,0.76604,0.86603,0.93969,0.98481,1
0.51969,0.52754,0.55033,0.58573,0.62999,0.67811,0.72431,0.76267,0.78805,0.79693,0.78805,0.76267,0.72431,0.67811,0.62999,0.58573,0.55033,0.52754,0.51969
